,state,state_po,county_name,county_fips,totalvotes,candidatevotes_biden,candidatevotes_trump,per_biden,per_trump,per_diff,abs_per_diff,winner
2718,SOUTH DAKOTA,SD,EDMUNDS,46045.0,1985.0,417.0,1538.0,21.007556675062972,77.48110831234257,56.4735516372796,56.4735516372796,0
2719,SOUTH DAKOTA,SD,FALL RIVER,46047.0,4042.0,1053.0,2878.0,26.051459673428994,71.20237506185056,45.150915388421566,45.150915388421566,0
2720,SOUTH DAKOTA,SD,FAULK,46049.0,1182.0,198.0,964.0,16.751269035532996,81.55668358714044,64.80541455160744,64.80541455160744,0
2721,SOUTH DAKOTA,SD,GRANT,46051.0,3745.0,1056.0,2618.0,28.197596795727637,69.90654205607477,41.708945260347136,41.708945260347136,0
2722,SOUTH DAKOTA,SD,GREGORY,46053.0,2258.0,455.0,1771.0,20.150575730735167,78.43224092116917,58.281665190434,58.281665190434,0
2723,SOUTH DAKOTA,SD,HAAKON,46055.0,1137.0,105.0,1026.0,9.234828496042216,90.23746701846966,81.00263852242745,81.00263852242745,0
2724,SOUTH DAKOTA,SD,HAMLIN,46057.0,3083.0,647.0,2372.0,20.986052546221213,76.93804735647097,55.95199481024976,55.95199481024976,0
2725,SOUTH DAKOTA,SD,HAND,46059.0,1836.0,373.0,1433.0,20.315904139433552,78.05010893246187,57.73420479302831,57.73420479302831,0
2726,SOUTH DAKOTA,SD,HANSON,46061.0,2388.0,557.0,1793.0,23.3249581239531,75.08375209380235,51.75879396984925,51.75879396984925,0
2727,SOUTH DAKOTA,SD,HARDING,46063.0,813.0,49.0,748.0,6.027060270602706,92.00492004920049,85.97785977859779,85.97785977859779,0
2728,SOUTH DAKOTA,SD,HUGHES,46065.0,8723.0,2953.0,5522.0,33.85303221368795,63.30390920554855,29.450876991860596,29.450876991860596,0
2729,SOUTH DAKOTA,SD,HUTCHINSON,46067.0,3767.0,762.0,2944.0,20.228298380674275,78.1523758959384,57.92407751526413,57.92407751526413,0
2730,SOUTH DAKOTA,SD,HYDE,46069.0,710.0,136.0,564.0,19.154929577464788,79.43661971830987,60.281690140845086,60.281690140845086,0
2731,SOUTH DAKOTA,SD,JACKSON,46071.0,1115.0,359.0,738.0,32.19730941704036,66.18834080717488,33.99103139013452,33.99103139013452,0
2732,SOUTH DAKOTA,SD,JERAULD,46073.0,1006.0,270.0,721.0,26.838966202783297,71.66998011928429,44.83101391650099,44.83101391650099,0
2733,SOUTH DAKOTA,SD,JONES,46075.0,599.0,90.0,498.0,15.025041736227045,83.13856427378965,68.1135225375626,68.1135225375626,0
2734,SOUTH DAKOTA,SD,KINGSBURY,46077.0,2779.0,819.0,1904.0,29.47103274559194,68.51385390428212,39.042821158690174,39.042821158690174,0
2735,SOUTH DAKOTA,SD,LAKE,46079.0,5873.0,2068.0,3681.0,35.21198705942449,62.67665588285374,27.46466882342925,27.46466882342925,0
2736,SOUTH DAKOTA,SD,LAWRENCE,46081.0,13828.0,4537.0,8753.0,32.810240092565806,63.299103268730114,30.48886317616431,30.48886317616431,0
2737,SOUTH DAKOTA,SD,LINCOLN,46083.0,32396.0,11981.0,19617.0,36.982960859365356,60.553772070625996,23.57081121126064,23.57081121126064,0
2738,SOUTH DAKOTA,SD,LYMAN,46085.0,1597.0,525.0,1042.0,32.87413901064496,65.24733876017534,32.37319974953038,32.37319974953038,0
